"Site crawlé","https://nina-carducci.github.io/"
"Date de début","2025-12-31"
"Heure de début","09:33:34"
"Date de la dernière modification","2025-12-31"
"Heure de la dernière modification","09:33:38"
"Temps écoulé","00:00:03"
"Date du rapport","2025-12-31"
"Heure du rapport","09:38:50"
""
"Résumé","URL","% du total","Total des URL","Total des descriptions d'URL"
"Total des URL rencontrées","24","100,00%","24","URL rencontrées"
"Total des URL crawlées","24","100,00%","24","URL rencontrées"
"Total interne bloqué par robots.txt","0","0,00%","24","URL rencontrées"
"Total externe bloqué par robots.txt","0","0,00%","24","URL rencontrées"
""
"URL affichées","24","100,00%","24","URL affichées"
"Total des URL internes","21","87,50%","24","URL affichées"
"Total des URL externes","3","12,50%","24","URL affichées"
"Total des URL internes indexables","21","87,50%","24","URL affichées"
"Total des URL internes non indexables","0","0,00%","24","URL affichées"
""
"Interne"
"Tous","21","100,00%","21","URL internes"
"HTML","1","4,76%","21","URL internes"
"JavaScript","3","14,29%","21","URL internes"
"CSS","2","9,52%","21","URL internes"
"Images","15","71,43%","21","URL internes"
"Médias","0","0,00%","21","URL internes"
"Polices","0","0,00%","21","URL internes"
"XML","0","0,00%","21","URL internes"
"PDF","0","0,00%","21","URL internes"
"Plug-ins","0","0,00%","21","URL internes"
"Autre","0","0,00%","21","URL internes"
"Inconnu","0","0,00%","21","URL internes"
""
"Externe"
"Tous","3","100,00%","3","URL externes"
"HTML","1","33,33%","3","URL externes"
"JavaScript","1","33,33%","3","URL externes"
"CSS","1","33,33%","3","URL externes"
"Images","0","0,00%","3","URL externes"
"Médias","0","0,00%","3","URL externes"
"Polices","0","0,00%","3","URL externes"
"XML","0","0,00%","3","URL externes"
"PDF","0","0,00%","3","URL externes"
"Plug-ins","0","0,00%","3","URL externes"
"Autre","0","0,00%","3","URL externes"
"Inconnu","0","0,00%","3","URL externes"
""
"Sécurité"
"Tous","21","100,00%","21","Toutes les URL internes et externes non-HTML"
"URL HTTP","0","0,00%","21","Toutes les URL internes et externes non-HTML"
"URL HTTPS","21","100,00%","21","Toutes les URL internes et externes non-HTML"
"Contenu mixte","0","0,00%","21","Toutes les URL internes et externes non-HTML"
"URL du formulaire non sécurisée","0","0,00%","21","Toutes les URL internes et externes non-HTML"
"Formulaire sur l'URL HTTP","0","0,00%","21","Toutes les URL internes et externes non-HTML"
"Liens avec attribut crossorigin non sécurisés","1","4,76%","21","Toutes les URL internes et externes non-HTML"
"Liens vers des ressources liées au protocole","0","0,00%","21","Toutes les URL internes et externes non-HTML"
"En-tête HSTS manquant","0","0,00%","21","Toutes les URL internes et externes non-HTML"
"En-tête Content-Security-Policy manquant","21","100,00%","21","Toutes les URL internes et externes non-HTML"
"En-tête X-Content-Type-Options manquant","21","100,00%","21","Toutes les URL internes et externes non-HTML"
"En-tête X-Frame-Options manquant","21","100,00%","21","Toutes les URL internes et externes non-HTML"
"En-tête Secure Referrer-Policy manquant","21","100,00%","21","Toutes les URL internes et externes non-HTML"
"Mauvais type de contenu","0","0,00%","21","Toutes les URL internes et externes non-HTML"
""
"Codes de réponse"
"Tous","24","100,00%","24","Toutes les URL internes et externes crawlées"
"Bloqué par Robots.txt","0","0,00%","24","Toutes les URL internes et externes crawlées"
"Ressource bloquée","0","0,00%","24","Toutes les URL internes et externes crawlées"
"Pas de réponse","0","0,00%","24","Toutes les URL internes et externes crawlées"
"Succès (2xx)","24","100,00%","24","Toutes les URL internes et externes crawlées"
"Redirection (3xx)","0","0,00%","24","Toutes les URL internes et externes crawlées"
"Redirection (JavaScript)","0","0,00%","24","Toutes les URL internes et externes crawlées"
"Redirection (Meta Refresh)","0","0,00%","24","Toutes les URL internes et externes crawlées"
"Redirection (actualisation HTTP)","0","0,00%","24","Toutes les URL internes et externes crawlées"
"Erreur du client HTTP (4xx)","0","0,00%","24","Toutes les URL internes et externes crawlées"
"Erreur de serveur (5xx)","0","0,00%","24","Toutes les URL internes et externes crawlées"
"Internes, toutes","21","87,50%","24","Toutes les URL internes crawlées"
"Internes, bloquées par Robots.txt","0","0,00%","24","Toutes les URL internes crawlées"
"Internes, ressource bloquée","0","0,00%","24","Toutes les URL internes crawlées"
"Internes, pas de réponse","0","0,00%","24","Toutes les URL internes crawlées"
"Internes, succès (2xx)","21","87,50%","24","Toutes les URL internes crawlées"
"Internes, redirection (3xx)","0","0,00%","24","Toutes les URL internes crawlées"
"Internes, redirection (JavaScript)","0","0,00%","24","Toutes les URL internes crawlées"
"Internes, redirection (Meta Refresh)","0","0,00%","24","Toutes les URL internes crawlées"
"Redirection interne (actualisation HTTP)","0","0,00%","24","Toutes les URL internes crawlées"
"Chaîne de redirection interne","0","0,00%","24","Toutes les URL internes crawlées"
"Boucle de redirection interne","0","0,00%","24","Toutes les URL internes crawlées"
"Internes, erreur du client (4xx)","0","0,00%","24","Toutes les URL internes crawlées"
"Internes, erreur de serveur (5xx)","0","0,00%","24","Toutes les URL internes crawlées"
"Externes, toutes","3","12,50%","24","Toutes les URL externes crawlées"
"Externes, bloquées par Robots.txt","0","0,00%","24","Toutes les URL externes crawlées"
"Externes, ressource bloquée","0","0,00%","24","Toutes les URL externes crawlées"
"Externes, pas de réponse","0","0,00%","24","Toutes les URL externes crawlées"
"Externes, succès (2xx)","3","12,50%","24","Toutes les URL externes crawlées"
"Externes, redirection (3xx)","0","0,00%","24","Toutes les URL externes crawlées"
"Externes, redirection (JavaScript)","0","0,00%","24","Toutes les URL externes crawlées"
"Externes, redirection (Meta Refresh)","0","0,00%","24","Toutes les URL externes crawlées"
"Redirection externe (actualisation HTTP)","0","0,00%","24","Toutes les URL externes crawlées"
"Externes, erreur du client (4xx)","0","0,00%","24","Toutes les URL externes crawlées"
"Externes, erreur de serveur (5xx)","0","0,00%","24","Toutes les URL externes crawlées"
""
"URL"
"Tous","21","100,00%","21","URL internes"
