"Nom du problème","Type de problème","Priorité du problème","URL","% du total","Description","Comment corriger","URL d'aide"
"Versions canoniques: Manquant","Avertissement","Moyenne","1","100,000","Les pages qui ne disposent d'aucune URL canonique présente, soit sous forme d'élément de lien, soit via l'en-tête HTTP. Si une page n'indique pas d'URL canonique, Google identifiera ce qu'il pense être la meilleure version ou URL. Cela peut entraîner une imprévisibilité du classement lorsque plusieurs versions sont découvertes, et c'est pourquoi toutes les URL devraient généralement indiquer une version canonique.","Indiquez une URL canonique pour chaque page afin d'éviter toute imprévisibilité potentielle du classement si plusieurs versions de la même page sont découvertes sur des URL différentes.",""
"H1: Non séquentiel","Avertissement","Faible","1","100,000","Pages dont l'élément <h1> n'est pas le premier en-tête de la page. Les éléments d'en-tête doivent être placés dans un ordre logique séquentiel par ordre décroissant. L'objectif des éléments d'en-tête est d'indiquer la structure de la page. Ils doivent être placés dans un ordre logique, de <h1> à <h6>, afin de faciliter la navigation et d'aider les utilisateurs qui dépendent de technologies d'assistance.","Assurez-vous que l'élément <h1> correspond au premier en-tête de la page. Les en-têtes doivent être placés dans un ordre séquentiel logique, de <h1> à <h6>. Examinez les niveaux des en-têtes de la page et vérifiez qu'ils sont placés par ordre décroissant. Par exemple, l'en-tête de premier niveau doit être un <h1>, et cet en-tête doit être suivi par un <h2>.",""
"Images: Environ 100 Ko","Opportunité","Moyenne","14","93,330","Images volumineuses dépassant un seuil de taille. La vitesse des pages est extrêmement importante pour les utilisateurs et pour le référencement. Souvent, les ressources volumineuses telles que les images sont l'un des problèmes les plus courants qui ralentissent les pages Web. Ce filtre sert simplement de règle générale pour aider à identifier les images dont la taille de fichier est relativement importante et qui peuvent prendre plus de temps à charger. Ces images doivent être optimisées, tout comme les opportunités identifiées dans l'onglet PageSpeed qui utilise l'API PSI et Lighthouse pour évaluer la vitesse. Cela peut aider à identifier les images dont la taille n'a pas été optimisée, qui se chargent hors de l'écran, qui ne sont pas optimisées, etc.","Les images non compressées alourdissent les pages d'octets inutiles. Veillez donc à ce que les images soient optimisées par la compression, qu'elles soient correctement mises à l'échelle et qu'elles utilisent le meilleur format d'image possible pour réduire la taille du fichier.",""
"H1: Plus de 70 caractères","Opportunité","Faible","1","100,000","Pages dont les <h1> dépassent la longueur configurée. Il n'y a pas de limite de caractères stricte pour les <h1>, mais ils doivent être clairs et concis pour les utilisateurs et les sous-titres longs peuvent être moins utiles.","Rédigez des <h1> concis pour les utilisateurs, en incluant des mots-clés ciblés lorsque cela est naturel pour les utilisateurs, sans bourrage de mots-clés.",""
"Title des pages: Manquant","Problème","Élevée","1","100,000","Pages dont l'élément de titre de page est manquant, dont le contenu est vide ou qui comportent un espace blanc. Les titres de page sont lus et utilisés à la fois par les utilisateurs et les moteurs de recherche pour comprendre le contenu d'une page. Ils sont importants pour le référencement, car les titres de page sont utilisés dans les classements, et essentiels pour l'expérience utilisateur, car ils sont affichés dans les navigateurs, dans les résultats des moteurs de recherche et sur les réseaux sociaux.","Il est essentiel de rédiger des titres de page concis, descriptifs et uniques pour chaque URL indexable afin d'aider les utilisateurs et de permettre aux moteurs de recherche de noter et de classer la page pour les requêtes de recherche correspondantes.",""
"Sécurité: En-tête X-Content-Type-Options manquant","Avertissement","Faible","21","100,000","URL qui n'ont pas l'en-tête de réponse « X-Content-Type-Options » avec une valeur « nosniff ». En l'absence d'un type MIME, les navigateurs peuvent « renifler » pour deviner le type de contenu et l'interpréter correctement pour les utilisateurs. Cependant, cela peut être exploité par des attaquants qui peuvent essayer de charger du code malveillant, tel que JavaScript, par une image qu'ils ont compromise.","Pour minimiser les problèmes de sécurité, l'en-tête de réponse X-Content-Type-Options doit être fourni et avec la valeur « nosniff » définie. Cela indique aux navigateurs de se fier uniquement à l'en-tête Content-Type et de bloquer tout ce qui ne correspond pas exactement. Cela signifie également que le type de contenu définii doit être précis.",""
"Sécurité: En-tête Content-Security-Policy manquant","Avertissement","Faible","21","100,000","URL qui n'ont pas l'en-tête de réponse Content-Security-Policy. Cet en-tête permet à un site Web de contrôler quelles ressources sont chargées pour une page. Cette politique peut aider à se protéger contre les attaques de type script intersites (XSS) qui exploitent la confiance du navigateur dans le contenu reçu du serveur. Le SEO Spider ne vérifie que l'existence de l'en-tête et n'interroge pas les politiques qu'il contient pour déterminer si elles sont bien configurées pour le site Web. Cette opération doit être effectuée manuellement.","Définissez un en-tête de réponse Content-Security-Policy strict pour toutes les pages afin d'atténuer les attaques par script intersites (XSS) et par injection de données.",""
"H2: Manquant","Avertissement","Faible","1","100,000","Pages dont le <h2> est manquant, dont le contenu est vide ou qui ont un espace blanc. Les sous-titres <h2> sont souvent utilisés pour décrire des sections ou des sujets dans un document. Ils servent de repères pour l'utilisateur et peuvent aider les moteurs de recherche à comprendre la page.","Envisagez d'utiliser des <h2> logiques et descriptifs sur les pages importantes, qui aident l'utilisateur et les moteurs de recherche à mieux comprendre la page.",""
"Images: Texte Alt manquant","Problème","Faible","1","6,670","Images qui disposent d'un attribut alt, mais sans texte alt. Cliquez sur l'adresse de l'image, puis sur l'onglet « Détails de l'image » dans la fenêtre inférieure pour voir quelles pages contiennent l'image, mais pas le texte alt. Les images doivent être accompagnées d'un texte alternatif descriptif de leur fonction, ce qui permet aux aveugles et aux malvoyants, ainsi qu'aux moteurs de recherche, de comprendre l'image et sa pertinence pour la page Web.","Incluez un texte alt descriptif pour les images afin d'aider les utilisateurs et les moteurs de recherche à mieux les comprendre. Dans la mesure du possible, les images décoratives doivent être fournies en utilisant des images d'arrière-plan CSS ou un texte alt nul (vide) (alt="""") afin qu'elles puissent être ignorées par les technologies d'assistance, telles que les lecteurs d'écran.",""
"Sécurité: Liens avec attribut crossorigin non sécurisés","Avertissement","Faible","1","4,760","URL pointant vers un site Web externe qui contiennent l'attribut target=""_blank"" (pour ouvrir la page dans un nouvel onglet), mais pas l'attribut rel=""noopener"" (ou rel=""noreferrer""). Lorsque seul l'attribut target=""_blank"" est utilisé, les pages concernées sont exposées à des problèmes de sécurité et de performance sur certains anciens navigateurs, qui représentent moins de 5 % du marché. Le fait de définir target=""_blank"" sur des éléments <a> permet d'obtenir implicitement le même comportement qu'avec rel=""noopener"", qui ne définit pas window.opener sur la plupart des navigateurs modernes tels que Chrome, Safari, Firefox et Edge. Les liens externes qui contiennent l'attribut target=""_blank"" uniquement peuvent être consultés dans l'onglet ""Liens sortants"" et la colonne ""Cible"". Pour exporter ces liens ainsi que leurs pages sources, accédez à Exportation en bloc > Sécurité > Liens avec attribut crossorigin non sécurisés.","Nous vous conseillons d'ajouter l'attribut rel=""noopener"" à tous les liens qui contiennent l'attribut target=""_blank"" pour éviter que les utilisateurs d'anciens navigateurs ne soient exposés à des problèmes de sécurité et de performance.",""
